1810,"[{'U', 'Ti', 'Si', 'Ir'}, {'Br', 'F', 'Cl'}, {'P', 'Sb', 'As'}, {'Au', 'Cr', 'Al', np.str_('B')}, {'Sb', 'B', 'Al', 'Tl', 'Au', 'Cr'}, {'Zn', 'Ba', 'Hg', 'Co', 'Pb', 'Pd', 'Ca'}, {'Be', 'Ni', 'Zn', 'Cu', 'Ba', 'Hg', 'Pb', 'Co', np.str_('Pd'), np.str_('Fe'), 'Mg', 'Ca', 'Sr'}, {'K', 'Na', 'H'}, {'K', 'Na', 'Ag', 'H'}, {'O', np.str_('Te'), 'S'}, {'O', 'Te', 'S', 'Mo'}, {'Ni', 'Zn', 'Cu', 'Ba', 'Hg', 'Pb', 'Co', 'Pd', 'Ca'}, {'Sb', 'B', 'Al', 'Au', 'Cr'}, {'P', 'As'}, {'Be', 'Ni', np.str_('Sn'), 'Zn', 'Cu', 'Ba', 'Hg', 'Pb', 'Co', np.str_('Pd'), np.str_('Fe'), 'Mg', 'Ca', 'Sr'}, {'S', 'O', 'Br', 'Cl', np.str_('Te'), 'F'}, {'N', np.str_('I')}]"
1811,"[{'P', 'As'}, {'Sb', 'B', 'As', 'P', 'Al', 'Tl', 'Au', 'Cr'}, {'K', 'Na', 'H'}, {'O', 'F', 'Cl'}, {'Zn', 'Cu', 'Ba', 'Hg', 'Pb', 'Co', 'Pd', 'Ca', 'Sr'}, {'W', 'O', 'S', 'Mo'}, {'Ir', 'Si', 'U', 'Ti', 'Te'}, {'U', 'Ti', 'Si', 'Ir'}, {'W', 'Ir', 'Si', 'Mo', 'U', 'Ti', 'Te'}, {np.str_('Zn'), 'Cu', 'Ba', 'Ca', 'Sr'}, {'K', 'Na', 'Ag', 'H'}, {'P', 'Sb', 'As'}, {'Au', 'Cr', 'Al', 'B'}, {'Pt', 'C'}]"
1812,"[{'K', 'Na', 'H'}, {'P', 'Sb', 'As'}, {'Sb', 'B', 'As', 'P', 'Al', 'Au', 'Cr'}, {'O', 'S', 'Cl'}, {'O', 'S'}, {'Ba', 'Cu', 'Co', 'Pb'}, {'Ba', 'Cu', 'Pb'}, {np.str_('Zn'), 'Ba', 'Co', 'Pb', 'Ca', 'Sr'}, {'Ir', 'Si', 'U', 'Ti', 'Te'}, {'W', 'Mo'}, {'Sn', 'Ir', 'Si', 'Mo', 'U', 'Ti', 'Te'}, {'P', 'As'}, {'F', 'Cl'}, {np.str_('Zn'), np.str_('Cu'), 'Ba', 'Pb', 'Co', 'Ca', 'Sr'}, {'Mg', 'Bi'}, {'Ni', np.str_('Pt')}, {'N', 'I'}]"
1813,"[{np.str_('W'), 'Mn', 'Mo'}, {'Mn', 'Ir', 'Si', 'Mo', 'U', 'Ti', 'Te'}, {'K', 'Na', 'H'}, {'K', 'Na', 'Ag', 'H'}, {'I', 'F', 'Cl'}, {'Br', 'I', 'F', 'Cl'}, {'P', 'Sb', 'As'}, {'Hg', 'Co', np.str_('Pd')}, {'Sb', 'B', 'As', 'P', 'Al', 'Rh', 'Au', 'Cr'}, {'Ba', 'Cu', 'Pb'}, {'Ir', 'Si', 'U', 'Ti', 'Te'}, {'Cr', 'Al', 'B'}, {'P', 'As'}, {'Al', 'B'}, {'O', 'S'}, {'Mg', np.str_('Bi')}]"
1814,"[{'I', 'F', 'Cl'}, {'K', 'Na', 'H'}, {'K', 'Na', 'Ag', 'H'}, {'Sb', 'B', 'As', 'P', 'Al', 'Au', 'Cr'}, {'P', 'Sb', 'As'}, {'Ba', 'Sr', 'Pb'}, {'Sn', 'Ir'}, {'O', 'S'}, {'W', 'Mn', 'Si', 'Mo', 'Zr', 'C', 'U', 'Ti', 'Ce', 'Te'}, {np.str_('Mg'), np.str_('Bi')}, {np.str_('Zn'), 'Ba', 'Co', 'Pb', np.str_('Pd'), 'Ca', 'Sr'}, {'Sn', 'Pt', 'Ir'}, {'Sb', 'B', 'As', 'P', 'Al', 'Rh', 'Au', 'Cr'}, {np.str_('Zn'), np.str_('Cu'), 'Ba', 'Pb', 'Co', np.str_('Pd'), 'Ca', 'Sr'}, {'N', 'I', 'F', 'Cl'}, {'U', 'Ti', 'Si', 'Te'}, {'Ba', 'Sr', 'Cu', 'Pb'}, {np.str_('Cu'), 'Ba', 'Pb', 'Co', 'Ca', 'Sr'}]"
1815,"[{'W', 'Mn', 'Mo', 'Zr', 'Ce'}, {'Sn', 'Pt', 'Ir'}, {np.str_('Zn'), 'Cu', 'Ba', 'Pb', np.str_('Ca'), np.str_('Sr')}, {'K', 'Na', 'Ag', 'H'}, {'O', 'S'}, {'P', 'Sb', 'As'}, {'Sb', 'B', 'As', 'P', 'Al', 'Au', 'Cr'}, {'Zn', np.str_('Hg'), np.str_('Co'), np.str_('Pd'), np.str_('Fe')}, {'W', 'Mn', 'Mo', 'Zr', 'U', 'Ti', 'Ce', np.str_('Te')}, {'I', 'F', 'Cl'}, {'U', 'Ti', np.str_('Te')}, {'Ba', 'Cu', 'Pb'}, {'Sn', 'Ir'}, {np.str_('Mg'), np.str_('Bi'), 'Pt'}, {np.str_('Mg'), np.str_('Bi')}, {'P', 'As'}, {np.str_('Ni'), 'Tl'}, {'Ba', np.str_('Sr'), 'Cu', 'Pb'}]"
1816,"[{'K', 'Na', 'H'}, {'K', 'Na', 'Ag', 'H'}, {'I', 'F', 'Cl'}, {'P', 'Sb', 'As'}, {'O', 'S'}, {'Ba', 'Cu', 'Pb'}, {'Pt', 'Ir'}, {'W', 'Mn', 'Mo', 'Zr', 'Ce'}, {'W', 'Mn', 'Mo', 'Zr', 'U', 'Ti', 'Ce', 'Te'}, {np.str_('Zn'), 'Ba', 'Pb', np.str_('Ca'), np.str_('Sr')}, {'Au', 'Al', np.str_('B')}, {'Hg', 'Co', np.str_('Pd')}, {'Br', 'I', 'F', 'Cl'}, {'U', 'Ti', 'Te'}, {'U', 'Ti', 'Si', 'Te'}, {np.str_('Mg'), 'Bi'}, {np.str_('Be'), 'Tl'}, {np.str_('Zn'), 'Hg', np.str_('Pd'), 'Co', np.str_('Ca'), np.str_('Sr')}]"
1817,"[{'P', 'As'}, {'Au', 'Cr', 'Al', 'B'}, {'K', 'Na', 'Ag', 'H'}, {'Br', 'I', 'F', 'Cl'}, {'Pt', 'Ir'}, {'Zn', 'Cu', 'Ba', 'Pb', 'Ca', 'Sr'}, {'W', 'Si', 'Mo', 'Zr', 'U', 'Ti', 'Ce', 'Te'}, {'U', 'Ti', 'Si', 'Te'}, {'I', 'F', 'Cl'}, {'Ba', 'Cu', 'Pb'}, {'O', 'S'}, {'B', 'Al', 'Rh', 'Au', 'Cr'}, {'Hg', np.str_('Co'), 'Pd'}, {'Sn', 'Pt', 'Ir'}, {'Ta', 'Pt', 'Ir'}, {'Ta', 'Sn', 'Pt', 'Ir'}, {'Be', np.str_('Mg')}]"
1818,"[{'Li', 'Tl'}, {'K', 'Na', 'H'}, {'K', 'Na', 'Ag', 'H'}, {'O', 'C', 'S', 'Se'}, {'Ba', 'Cu', 'Pb', 'Ca'}, {'P', 'Sb', 'As'}, {'Au', 'Al', 'B'}, {'Zr', 'Ce', 'Mo', 'W'}, {'Mo', 'Zr', 'U', 'Ce', 'Te'}, {'I', 'F', 'Cl'}, {'N', 'I', 'F', 'Cl'}, {np.str_('Fe'), np.str_('Mg'), np.str_('Cd')}, {np.str_('Ni'), np.str_('Mn')}, {'Pt', np.str_('Ir')}, {'Ta', np.str_('Ir')}, {'O', 'S', 'Se'}, {'U', 'Ti', 'Si'}, {'Sb', 'B', 'As', 'P', 'Al', 'Au'}, {'Zn', 'Pt', 'Pd'}, {'P', 'As'}, {'Zr', 'Ce', 'Mo'}]"
1819,"[{'K', 'Na', 'H'}, {'Li', 'Na', 'K', 'H', 'Ag'}, {'I', 'F', 'Cl'}, {'P', 'As'}, {'Au', 'Al', 'B'}, {'Fe', 'Bi'}, {np.str_('Zn'), 'Cu', 'Ba', 'Pb', np.str_('Cd'), np.str_('Mg'), 'Ca', 'Sr'}, {'Sn', 'Ir'}, {'U', 'Ti', 'Si', 'Te'}, {'Zr', 'Ce', 'Mo', 'W'}, {'C', 'S', 'Se'}, {'Sn', np.str_('Pt'), 'Ir'}, {np.str_('Ba'), 'Cu', np.str_('Pb')}, {'Ba', 'Cu', np.str_('Pb'), 'Ca'}, {'O', 'S', 'Se'}, {np.str_('Ba'), np.str_('Pb')}, {np.str_('Zn'), 'Cu', 'Ba', 'Hg', 'Pb', 'Co', 'Ca', 'Sr'}, {'O', 'C', 'S', 'Se'}, {'K', 'Na', 'Ag', 'H'}, {np.str_('Zn'), 'Cu', 'Ba', 'Pb', 'Ca', 'Sr'}, {'W', 'Mo', 'Zr', 'U', 'Ce'}, {np.str_('Zn'), 'Cu', 'Ba', 'Pb', np.str_('Mg'), 'Ca', 'Sr'}, {'S', 'Se'}]"
